П/п;Номер;Индекс;Время;Вес
1;2068;9322 365 9855;12:10;6260
2;2340;9300 937 9700;12:19;6020
3;3874;8879 454 9431;13:49;5501
4;1202;0335 089 9813;14:00;2393
5;3876;8500 501 9700;14:12;5250
6;1608;8637 186 9857;14:23;6003
7;2804;8630 834 9861;14:48;7036
8;2812;8642 778 9857;14:58;5879
9;2806;8622 691 9861;15:05;7056
10;2556;9264 164 9470;15:19;5955
11;2270;9246 110 9373;15:35;5124
12;2118;9300 220 9470;15:38;6069
13;2350;8935 970 9700;16:23;5972
14;1588;8646 274 9878;16:24;5833
15;2916;8902 289 9371;16:38;3840
16;2202;8927 842 9687;16:49;5995
17;2352;9300 028 9401;17:25;4168
18;2818;7696 004 9470;17:54;5933
19;3852;9300 601 9327;17:57;2344
20;2206;8600 005 9851;18:15;5982
21;2822;9300 664 9400;18:25;4154
22;3822;9300 225 9329;18:31;2110
23;2096;8876 843 9861;18:35;5996
24;2208;8600 214 9861;18:47;5842
25;2028;8500 503 9700;18:59;6160
26;2214;8315 574 9879;19:12;6002
27;2030;9300 927 9700;19:24;6289
28;2032;9300 512 9376;19:30;4175
29;1594;8621 711 9861;19:41;5989
30;1760;8891 620 9861;20:05;5934
31;2042;8500 504 9700;20:17;5403
32;2920;8500 505 9700;20:58;5912
33;3846;9300 226 9329;21:07;2255
34;2924;9322 709 9678;21:13;6046
35;2854;9200 398 9468;21:33;5976
36;2860;8642 771 9857;21:41;5944
37;2008;8656 904 9861;21:59;6027
38;2868;4384 002 9893;22:29;5586
39;2132;9322 366 9855;22:38;6246
40;2844;0154 032 9470;22:52;5027
41;2830;8630 081 9860;23:06;5839
42;3822;8628 089 9743;23:19;5989
43;2370;9300 939 9700;23:31;3844
44;2128;8614 255 9861;23:45;5952
45;1600;8649 498 9847;23:50;6017
46;2046;9300 226 9369;0:24;5990
47;2046;8622 692 9861;0:32;7050
48;2230;8500 507 9700;0:45;6224
49;2224;9300 884 9376;0:54;4183
50;1442;8515 830 9700;1:03;3507
51;2060;8927 845 9687;1:47;5924
52;2234;8876 811 9861;2:41;6016
53;1182;1910 497 9801;2:56;2759
54;2088;8630 837 9861;3:26;6026
55;9506;8626 125 9861;3:38;6914
56;2090;8500 506 9700;4:32;5679
57;3824;9300 228 9328;4:38;2462
58;2002;9200 401 9700;5:00;5963
59;2094;8315 575 9879;5:18;5994
60;2122;8647 292 9861;5:28;5925
61;1226;0335 065 9700;5:36;2323
62;2922;8931 880 9855;5:51;5905
63;3840;9300 229 9329;6:01;3086
64;2380;9300 936 9700;6:12;5154
65;2240;8622 531 9795;6:31;5974
66;2874;8903 002 9470;6:55;6019
67;2322;9300 938 9700;7:04;5457
68;2306;8622 425 9678;7:13;5987
69;2122;9300 227 9470;7:50;6201
70;2026;8142 008 9851;8:02;6021
71;2028;8649 699 9861;8:15;3925
72;2888;9220 661 9328;8:39;6011
73;1200;2305 680 9821;8:48;2063
74;2374;8639 165 9861;8:59;5877
75;2556;8647 286 9861;9:14;6029
76;2330;8927 843 9687;9:27;6231
77;2902;8621 710 9861;9:39;5937
78;2030;8927 847 9687;9:48;5996
79;1588;8646 275 9878;10:12;5926
