П/п;Номер;Индекс;Время;Вес
1;1179;9859 266 2305;10:57;2583
2;2049;9877 013 9200;11:11;1650
3;1085;9369 529 1305;11:26;1481
4;2481;9722 022 8623;11:33;2003
5;3847;9300 755 9325;11:50;4437
6;3849;9300 756 9325;12:25;2303
7;2961;9300 198 8902;12:25;4146
8;9223;9300 634 9200;12:39;3371
9;3851;9300 757 9325;13:20;4437
10;2003;9700 276 9200;13:27;2855
11;2003;9300 864 9200;14:01;1854
12;1189;9808 117 0600;14:01;2232
13;2007;9300 865 9200;14:19;1499
14;1009;9821 034 7800;14:41;2342
15;3801;9300 526 9325;15:19;1506
16;3821;9300 758 9325;15:20;2303
17;3823;9300 663 9325;15:49;3408
18;2431;9501 715 8879;16:15;1763
19;2045;9700 723 8902;16:27;2010
20;1293;9859 177 8502;16:43;2594
21;3801;9300 759 9325;17:09;1585
22;2483;9300 866 9200;17:20;1809
23;3825;9300 760 9325;17:25;2303
24;2061;9700 275 9200;17:29;3870
25;3405;9300 527 9309;17:44;1585
26;3827;9300 511 9325;17:54;2475
27;2063;9700 724 8902;18:18;1962
28;2071;9700 686 8902;18:31;2385
29;3831;9300 222 9325;18:37;1921
30;3829;9300 761 9325;18:55;2303
31;2583;9300 199 8902;19:45;4224
32;1241;9800 159 1910;19:55;2604
33;3833;9300 933 9325;20:24;3499
34;3815;9300 528 9325;20:45;1432
35;1331;9859 943 7803;20:51;2511
36;2083;9700 969 8628;21:42;2360
37;3403;9300 529 9309;21:52;1533
38;2487;9600 798 8902;21:59;2541
39;2489;9687 786 8927;22:20;1977
40;3817;9300 763 9325;22:21;2143
41;3835;9300 762 9325;22:25;2303
42;2269;9300 868 8902;22:56;2210
43;3819;9300 200 9325;23:06;2367
44;2093;9700 277 9200;23:16;2356
45;3839;9300 218 9325;23:21;5944
46;1371;9822 076 0600;23:28;1863
47;2033;9700 968 8628;23:39;2009
48;3837;9300 764 9325;23:42;2303
49;2537;9700 278 9200;23:58;2482
50;3861;9300 936 9325;0:08;2367
51;2537;9517 151 8631;0:10;2204
52;3863;9300 682 9325;0:17;1594
53;2097;9845 830 8902;0:18;1882
54;3865;9300 869 9325;0:38;1453
55;2105;9700 237 8622;0:39;2399
56;3865;9300 937 9325;0:59;1774
57;2015;9468 137 9200;1:11;1663
58;3841;9300 766 9325;1:30;2303
59;3867;9300 683 9326;1:39;2060
60;2017;9700 280 9200;1:45;2745
61;2435;9700 728 8902;1:56;2173
62;3869;9300 767 9325;1:59;1774
63;2437;9845 837 8902;2:05;2087
64;3801;9300 202 8902;2:57;2367
65;3871;9300 564 9322;3:08;2210
66;1627;9328 071 9222;3:10;1533
67;1659;9331 345 9321;3:39;4183
68;2117;9300 695 8649;3:43;1686
69;2037;9300 754 8648;4:03;1774
70;2441;9687 788 8927;4:18;2158
71;1037;9468 218 1306;4:25;1451
72;1203;9468 014 0600;4:59;1305
73;2811;9600 328 8621;5:17;1692
74;2877;9700 279 9200;5:29;4186
75;2441;9700 970 8628;5:50;1724
76;2011;9338 267 9322;6:20;2035
77;3849;9300 024 9325;6:25;2854
78;1179;9859 918 1935;6:32;2484
79;1139;9800 160 1910;6:42;2157
80;3851;9300 459 9325;7:20;3040
81;2025;9700 238 8622;7:37;1740
82;2215;9300 201 8902;7:48;2047
83;2003;9845 835 9200;8:00;1949
84;2473;9700 726 8902;8:21;2370
85;2471;9468 138 9200;8:39;1935
86;2963;9687 793 8927;8:57;2032
87;3851;9300 460 9325;9:05;3040
88;2227;9300 203 8902;9:18;4229
89;2871;9700 276 9322;9:19;2213
90;2963;9845 743 9200;9:31;2029
91;2857;9628 018 8629;9:42;1711
92;1335;9821 106 2305;9:58;2656
93;3855;9300 031 9325;10:00;2854
94;2403;9300 565 9322;10:27;2252
